#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
####TARGETED DECISIONS###
way_of_dog_upgrade;Upgrade Leader Trait;;;;;;;;;;;;;x
way_of_dog_upgrade_desc;Use your knowledge of Chinese-style warfare to amplify your existing leadership traits.;;;;;;;;;;;;;x
way_of_leopard_upgrade;Upgrade Leader Trait;;;;;;;;;;;;;x
way_of_leopard_upgrade_desc;Use your knowledge of Chinese-style warfare to amplify your existing leadership traits.;;;;;;;;;;;;;x
way_of_tiger_upgrade;Upgrade Leader Trait;;;;;;;;;;;;;x
way_of_tiger_upgrade_desc;Use your knowledge of Chinese-style warfare to amplify your existing leadership traits.;;;;;;;;;;;;;x
way_of_dragon_upgrade;Gain Dragon Leadership Trait;;;;;;;;;;;;;x
way_of_dragon_upgrade_desc;As a ùY[From.Culture.GetName]ù! you can specialise in the shock and fire tactics of the Chinese.;;;;;;;;;;;;;x
###DECISIONS###
form_fulin;Form the Fulin Empire;;;;;;;;;;;;;x
form_fulin_desc;Fulin is the name given to the Byzantine Empire by the Chinese. What better way to solidify the ongoing blending of East and West than taking on the name?;;;;;;;;;;;;;x
form_fulin_desc_extra;All other Empires you hold will be forfeit...;;;;;;;;;;;;;x
form_fulin_TT;All other Empires you hold will be forfeit...;;;;;;;;;;;;;x
form_daqin;Declare your empire Daqin;;;;;;;;;;;;;x
form_daqin_desc;Daqin, the name given to Ancient Rome by the Chinese. If you could control it's territory, you could proclaim yourself the only true equal of the Middle Kingdom...;;;;;;;;;;;;;x
form_daqin_desc_extra;All other empires you hold, including Fulin, will be destroyed.;;;;;;;;;;;;;x
sinoroman_renaissance;Adopt Ancient Roman customs;;;;;;;;;;;;;x
sinoroman_renaissance_desc;The Romans were the pinnacle of the West's power and accomplishments. We should not forget their way of life, but add it to our own.;;;;;;;;;;;;;x
sinoroman_renaissance_desc_extra;ùYSino-Romanù! culture will begin spreading.;;;;;;;;;;;;;x
sinoroman_renaissance_TT;ùYSino-Romanù! culture will begin spreading.;;;;;;;;;;;;;x
embrace_sinoroman_culture;Embrace Sino-Roman culture;;;;;;;;;;;;;x
embrace_sinoroman_culture_desc;The new blend of Roman and Chinese cultures is proving to be most auspicious. Perhaps the time has come to leave your old ways behind?;;;;;;;;;;;;;x
daqin_classics;Delve into the Classics;;;;;;;;;;;;;x
daqin_classics_desc;Our heritage is that of the Classical world. It would do us well to study and understand it.;;;;;;;;;;;;;x
qin_tomb_decision;Go to the Chinese Mound;;;;;;;;;;;;;x
qin_tomb_decision_desc;Investigate the terracotta-filled mound that you found on your trip to China.;;;;;;;;;;;;;x
qin_tomb_return_home;Return Home;;;;;;;;;;;;;x
qin_tomb_return_home_desc;Damn the excavation! Your realm needs you. \n ùRThis will reset your progress on the dig.ù!;;;;;;;;;;;;;x
form_tyrian_guard;Form the Tyrian Guard;;;;;;;;;;;;;x
form_tyrian_guard_desc;Inspired by the Terracotta Army guarding Qin Shi Huang, create your own personal guard of elite soldiers.;;;;;;;;;;;;;x
explore_china;Explore China;;;;;;;;;;;;;x
explore_china_desc;Take some time away from court to go explore China.;;;;;;;;;;;;;x
explore_china_desc_extra;This option is available because you have the holiday feature disabled.;;;;;;;;;;;;;x
