#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTF_MNM_6259;[From.GetSocietyNameCap] want nothing to do with you right now.;Les Assassins ne s'intéressent nullement à vous en ce moment.;Die Assassinen wollen derzeit nichts mit Euch zu tun haben.;;Los Asesinos no quieren saber nada de ti ahora mismo.;;;;;;;;;x
EVTDESC_MNM_6260_A;My child, and apprentice in the shadowy arts of assassination, has been the victim of an unexpected turn of events and a most untimely death. I could be beside myself with pain, but I must focus on recovering from the loss, while [From.GetSocietyNameCap] are informed of my predicament.;Mon enfant, apprenti aux arts ténébreux de l'assassinat, a été victime d'une tournure inattendue des événements et d'une mort prématurée. La douleur me submerge, mais je dois tout faire pour me remettre de cette perte, pendant que les Assassins sont informés de ma situation difficile.;Mein Kind und Schüler in den dunklen Künsten der Assassinen wurde Opfer einer unerwarteten Wendung der Ereignisse und einem frühzeitigen Tod. Ich könnte mich vor Schmerzen winden, aber ich muss mich von dem Verlust erholen, während die Assassinen über meine Lage in Kenntnis gesetzt werden.;;Mi aprendiz en el sombrío arte del asesinato ha sido víctima de un giro de los acontecimientos y ha sufrido una muerte prematura. No puedo sucumbir al dolor. Debo recuperarme da la pérdida mientras los Asesinos reciben noticias de mi terrible situación.;;;;;;;;;x
EVTDESC_MNM_6260_B;My apprentice in the shadowy arts of assassination has been the victim of an unexpected turn of events and a most untimely death. [From.GetSocietyNameCap] will be informed of my loss and predicament.;Mon apprenti aux arts ténébreux de l'assassinat a été victime d'une tournure des événements inattendue et d'une mort prématurée. Les Assassins seront informés de ma perte et de ma situation difficile.;Mein Schüler in den dunklen Künsten der Assassinen wurde Opfer einer unerwarteten Wendung der Ereignisse und einem frühzeitigen Tod. Die Assassinen werden über meinen Verlust und meine Situation in Kenntnis gesetzt.;;Mi aprendiz en el sombrío arte del asesinato ha sido víctima de un giro de los acontecimientos y ha sufrido una muerte prematura. Los Asesinos recibirán noticias de la pérdida y de mi terrible situación.;;;;;;;;;x
currency_name_the_assassins_bud_mahayana;Divine Power;Pouvoir divin;Göttliche Macht;;Poder divino;;;;;;;;;x
currency_name_the_assassins_mani_ahriman;Divine Power;Pouvoir divin;Göttliche Macht;;Poder divino;;;;;;;;;x
currency_name_the_assassins_priscillian;Divine Power;Pouvoir divin;Göttliche Macht;;Poder divino;;;;;;;;;x
currency_name_the_assassins_ragnarok;Divine Power;Pouvoir divin;Göttliche Macht;;Poder divino;;;;;;;;;x
currency_name_the_assassins_set;Divine Power;Pouvoir divin;Göttliche Macht;;Poder divino;;;;;;;;;x
currency_name_the_assassins_tengri_ahriman;Divine Power;Pouvoir divin;Göttliche Macht;;Poder divino;;;;;;;;;x
currency_name_the_assassins_yahyanism;Divine Power;Pouvoir divin;Göttliche Macht;;Poder divino;;;;;;;;;x
currency_name_the_assassins_zor_angra;Divine Power;Pouvoir divin;Göttliche Macht;;Poder divino;;;;;;;;;x
currency_name_the_neo_sarkites;Dark Power;Pouvoir obscur;Dunkle Macht;;Poder oscuro;;;;;;;;;x
secretly_yazidism;Secretly Yazidism;Secrètement de foi yézidie;Heimlicher Jazidi;;Yazidí en secreto;;;;;;;;;x
secretly_yazidism_desc;This character is secretly a Yazidi.;Ce personnage est secrètement de foi yézidie.;Diese Person ist ein geheimer Jazidi.;;Este personaje practica el yazidismo en secreto.;;;;;;;;;x
EVTOPTB_6020_MUSLIM;[assassins_recruiter.GetFirstName], you sound like a mindless [qarmatian.GetName]!;[assassins_recruiter.GetFirstName], vous ressemblez à un[assassins_recruiter.Get_E] [qarmatian.GetName] irraisonné[assassins_recruiter.Get_E] !;[assassins_recruiter.GetFirstName], Ihr klingt wie ein stumpfsinniger Schiit!;;¡[assassins_recruiter.GetFirstName], hablas como esos chiíes insensatos!;;;;;;;;;x

EVTDESC_lux_assassins_1_A;Most guests have departed and evening has turned into early morning, yet [assassins_recruiter.GetTitledFirstName] and I are still deep in conversation. We are talking about religion, righteousness, how to do the right thing. [assassins_recruiter.GetFirstName] suggests that giving alms and meditating must surely bring mortals closer to the divine.;La plupart des invités sont partis, il va bientôt faire jour, et pourtant, vous êtes en pleine discussion avec [assassins_recruiter.Get_le_TitledFirstName]. Vous parlez de religion et de droiture. [assassins_recruiter.GetIlElleCap] suggère que l'aumône et le jeûne doivent assurément rapprocher les mortels du divin.;Die meisten Gäste haben sich verabschiedet und der Abend ist dem frühen Morgen gewichen, doch Ihr und [assassins_recruiter.GetTitledFirstName] befindet euch immer noch tief im Gespräch. Ihr redet über Religion, Rechtschaffenheit, wie man das Richtige macht. [assassins_recruiter.GetFirstName] meint, das Spenden von Almosen und Fasten würde Sterbliche sicherlich dem Göttlichen näherbringen.;;La mayoría de los invitados se marchó y ya se había hecho de día, pero [assassins_recruiter.GetTitledFirstName] y tú seguíais manteniendo una profunda conversación. Cuando salieron a relucir temas como la religión, la rectitud, cómo hacer el bien, [assassins_recruiter.GetFirstName] argumentó que dar limosnas y ayunar acercan a los mortales a la divinidad.;;;;;;;;;x
